network,case,sigma,accuracy_mean,accuracy_std
lenet5_mnist,var_only,0.00,97.93,0.00
lenet5_mnist,var_only,0.05,97.67,0.13
lenet5_mnist,var_only,0.10,96.93,0.37
lenet5_mnist,var_only,0.15,95.40,1.27
lenet5_mnist,var_only,0.20,91.75,3.74
lenet5_mnist,var+hw_cal,0.00,91.77,0.00
lenet5_mnist,var+hw_cal,0.05,91.75,2.40
lenet5_mnist,var+hw_cal,0.10,90.21,4.77
lenet5_mnist,var+hw_cal,0.15,86.94,7.21
lenet5_mnist,var+hw_cal,0.20,80.64,10.14
resnet20_mnist,var_only,0.00,99.63,0.00
resnet20_mnist,var_only,0.05,99.56,0.06
resnet20_mnist,var_only,0.10,99.42,0.09
resnet20_mnist,var_only,0.15,99.12,0.14
resnet20_mnist,var_only,0.20,98.50,0.31
resnet20_mnist,var+hw_cal,0.00,39.04,0.00
resnet20_mnist,var+hw_cal,0.05,38.41,0.78
resnet20_mnist,var+hw_cal,0.10,37.12,2.04
resnet20_mnist,var+hw_cal,0.15,35.47,3.53
resnet20_mnist,var+hw_cal,0.20,33.69,4.95
vgg_cifar10,var_only,0.00,90.55,0.00
vgg_cifar10,var_only,0.05,90.37,0.04
vgg_cifar10,var_only,0.10,89.97,0.02
vgg_cifar10,var_only,0.15,89.16,0.18
vgg_cifar10,var_only,0.20,87.91,0.29
vgg_cifar10,var+hw_cal,0.00,69.42,0.00
vgg_cifar10,var+hw_cal,0.05,68.91,0.19
vgg_cifar10,var+hw_cal,0.10,67.43,0.34
vgg_cifar10,var+hw_cal,0.15,65.37,0.68
vgg_cifar10,var+hw_cal,0.20,62.44,1.16
vgg_cifar100,var_only,0.00,67.28,0.00
vgg_cifar100,var_only,0.05,67.04,0.11
vgg_cifar100,var_only,0.10,66.19,0.11
vgg_cifar100,var_only,0.15,64.84,0.06
vgg_cifar100,var_only,0.20,62.83,0.26
vgg_cifar100,var+hw_cal,0.00,42.17,0.00
vgg_cifar100,var+hw_cal,0.05,41.70,0.29
vgg_cifar100,var+hw_cal,0.10,40.68,0.30
vgg_cifar100,var+hw_cal,0.15,38.57,0.43
vgg_cifar100,var+hw_cal,0.20,36.14,0.61
